date,adm_level,PCODE,current_rainfall,historical_rainfall_avg,rolling_3_month_avg,r3h_avg,rfq,seasonal_anomaly_score,year,month,deficit
2022-01-01,1,KE019,5.5690866,15.759407,279.41217,346.43607,50.912273,80.928566,2022,1,-10.1903204
2022-01-11,1,KE019,26.772833,19.29477,275.4333,328.69415,130.78055,84.03902,2022,1,7.478062999999999
2022-01-21,1,KE019,8.17096,16.265417,249.1569,292.37277,61.936058,85.467445,2022,1,-8.094457
2022-02-01,1,KE019,10.555036,12.719282,237.61359,245.9968,87.78593,96.660034,2022,2,-2.1642460000000003
2022-02-11,1,KE019,8.59719,18.768618,219.07727,206.9961,57.206482,105.69878,2022,2,-10.171428
2022-02-21,1,KE019,27.38876,11.827791,194.85011,171.64575,192.47183,113.1361,2022,2,15.560969000000002
2022-03-01,1,KE019,10.028103,29.22014,171.65575,174.48572,43.91596,98.423294,2022,3,-19.192037
2022-03-11,1,KE019,8.311476,28.629663,148.62296,179.64012,39.582546,83.20129,2022,3,-20.318187
2022-03-21,1,KE019,31.81499,41.624825,137.20844,194.10991,78.96005,71.42207,2022,3,-9.809835
2022-04-01,1,KE019,25.517565,73.95238,157.1569,252.30289,38.65313,63.021797,2022,4,-48.434815
2022-04-11,1,KE019,72.99297,71.15941,203.37704,304.16754,102.40754,67.39939,2022,4,1.8335600000000056
2022-04-21,1,KE019,96.025764,84.53724,291.23184,372.43936,112.83101,78.48462,2022,4,11.488523999999998
2022-05-01,1,KE019,18.704918,68.00289,299.38174,427.72296,32.471203,70.34102,2022,5,-49.297971999999994
2022-05-11,1,KE019,21.868853,59.47049,312.6534,468.42484,41.6762,67.09691,2022,5,-37.601637
2022-05-21,1,KE019,37.644028,44.92303,322.9087,501.52005,85.41955,64.73755,2022,5,-7.279001999999998
2022-06-01,1,KE019,9.105387,23.011553,321.98593,495.3115,50.355606,65.35647,2022,6,-13.906165999999999
2022-06-11,1,KE019,9.592505,17.591335,323.26697,484.27316,64.593376,67.09278,2022,6,-7.998830000000002
2022-06-21,1,KE019,9.421546,15.58993,300.8735,458.23825,70.04175,66.02941,2022,6,-6.168384000000001
2022-07-01,1,KE019,13.339579,15.420843,288.69553,399.70673,89.808136,72.56997,2022,7,-2.081263999999999
2022-07-11,1,KE019,12.15925,15.31413,227.86183,343.86145,84.469536,66.749084,2022,7,-3.1548800000000004
2022-07-21,1,KE019,10.833724,20.081108,142.66978,279.4053,63.13008,51.922302,2022,7,-9.247384
2022-08-01,1,KE019,18.803278,17.102888,142.76814,228.50531,107.69306,63.282562,2022,8,1.7003899999999987
2022-08-11,1,KE019,19.142857,17.328728,140.04214,186.36354,108.12463,75.79404,2022,8,1.8141289999999977
2022-08-21,1,KE019,18.57377,22.460423,120.971886,163.90094,85.84635,74.58329,2022,8,-3.886652999999999
2022-09-01,1,KE019,32.346603,14.573692,144.2131,155.46307,190.79999,92.98906,2022,9,17.772911
2022-09-11,1,KE019,10.80562,13.288603,145.42622,151.16034,86.42333,96.328064,2022,9,-2.482983000000001
